//										
1	30	0	0	646	111	1	0	0	0	0
1	30	1	0	646	111	1	0	0	0	0
1	30	2	0	646	111	1	0	0	0	0
1	30	3	0	646	111	1	0	0	0	0
2	35	0	1	1147	43	1	2	24	72	20
2	35	1	1	1297	43	1	2	24	72	20
2	35	2	1	1456	43	1	2	24	72	20
2	35	3	0	1606	43	1	2	24	72	20
2	35	0	2	1147	43	1	60	8	72	20
2	35	1	2	1297	43	1	60	8	72	20
2	35	2	2	1456	43	1	60	8	72	20
3	34	0	1	1159	43	1	73	24	74	15
3	34	1	1	1309	43	1	73	24	74	15
3	34	2	1	1459	43	1	73	24	74	15
3	34	3	0	1609	43	1	73	24	74	15
3	34	0	2	1159	43	1	73	24	60	8
3	34	1	2	1309	43	1	73	24	60	8
3	34	2	2	1459	43	1	73	24	60	8
4	39	0	1	1111	43	1	26	18	4	40
4	39	1	1	1261	43	1	26	18	4	40
4	39	2	1	1447	43	1	26	18	4	40
4	39	3	0	1597	43	1	26	18	4	40
4	39	0	2	1111	43	1	60	10	3	20
4	39	1	2	1261	43	1	60	10	3	20
4	39	2	2	1447	43	1	60	10	3	20
5	44	0	1	1135	43	1	2	24	71	60
5	44	1	1	1285	43	1	2	24	71	60
5	44	2	1	1453	43	1	2	24	71	60
5	44	3	0	1603	43	1	2	24	71	60
5	44	0	2	1135	43	1	3	25	60	8
5	44	1	2	1285	43	1	3	25	60	8
5	44	2	2	1453	43	1	3	25	60	8
6	49	0	1	1123	43	1	2	24	71	60
6	49	1	1	1273	43	1	2	24	71	60
6	49	2	1	1450	43	1	2	24	71	60
6	49	3	0	1600	43	1	2	24	71	60
6	49	0	2	1123	43	1	3	25	60	10
6	49	1	2	1273	43	1	3	25	60	10
6	49	2	2	1450	43	1	3	25	60	10
7	84	0	1	1186	43	1	2	24	72	25
7	84	1	1	1321	43	1	2	24	72	25
7	84	2	1	1471	43	1	2	24	72	25
7	84	3	0	1621	43	1	2	24	72	25
7	84	0	2	1186	43	1	60	8	72	25
7	84	1	2	1321	43	1	60	8	72	25
7	84	2	2	1471	43	1	60	8	72	25
8	89	0	1	1189	43	1	73	24	74	15
8	89	1	1	1324	43	1	73	24	74	15
8	89	2	1	1474	43	1	73	24	74	15
8	89	3	0	1624	43	1	73	24	74	15
8	89	0	2	1189	43	1	73	24	60	8
8	89	1	2	1324	43	1	73	24	60	8
8	89	2	2	1474	43	1	73	24	60	8
9	94	0	1	1177	43	1	26	18	4	50
9	94	1	1	1312	43	1	26	18	4	50
9	94	2	1	1462	43	1	26	18	4	50
9	94	3	0	1612	43	1	26	18	4	50
9	94	0	2	1177	43	1	60	8	3	25
9	94	1	2	1312	43	1	60	8	3	25
9	94	2	2	1462	43	1	60	8	3	25
10	99	0	1	1183	43	1	2	24	71	60
10	99	1	1	1318	43	1	2	24	71	60
10	99	2	1	1468	43	1	2	24	71	60
10	99	3	0	1618	43	1	2	24	71	60
10	99	0	2	1183	43	1	3	25	60	8
10	99	1	2	1318	43	1	3	25	60	8
10	99	2	2	1468	43	1	3	25	60	8
11	104	0	1	1180	43	1	2	24	71	60
11	104	1	1	1315	43	1	2	24	71	60
11	104	2	1	1465	43	1	2	24	71	60
11	104	3	0	1615	43	1	2	24	71	60
11	104	0	2	1180	43	1	3	25	60	8
11	104	1	2	1315	43	1	3	25	60	8
11	104	2	2	1465	43	1	3	25	60	8
12	108	0	1	884	43	1	2	18	2	18
12	108	0	2	854	43	1	60	8	60	8
12	108	1	1	824	43	1	2	18	2	18
12	108	1	2	899	43	1	60	8	60	8
12	108	2	1	809	43	1	2	18	2	18
12	108	2	2	854	43	1	60	8	60	8
12	108	3	0	824	43	1	2	18	2	18
13	119	0	1	1201	43	1	2	25	72	25
13	119	1	1	1336	43	1	2	25	72	25
13	119	2	1	1486	43	1	2	25	72	25
13	119	3	0	1636	43	1	2	25	72	25
13	119	0	2	1201	43	1	60	8	72	25
13	119	1	2	1336	43	1	60	8	72	25
13	119	2	2	1486	43	1	60	8	72	25
14	124	0	1	1204	43	1	73	25	74	15
14	124	1	1	1339	43	1	73	25	74	15
14	124	2	1	1489	43	1	73	25	74	15
14	124	3	0	1639	43	1	73	25	74	15
14	124	0	2	1204	43	1	73	25	60	8
14	124	1	2	1339	43	1	73	25	60	8
14	124	2	2	1489	43	1	73	25	60	8
15	129	0	1	1192	43	1	26	15	4	40
15	129	1	1	1327	43	1	26	15	4	40
15	129	2	1	1477	43	1	26	15	4	40
15	129	3	0	1627	43	1	26	15	4	40
15	129	0	2	1192	43	1	60	8	3	20
15	129	1	2	1327	43	1	60	8	3	20
15	129	2	2	1477	43	1	60	8	3	20
16	134	0	1	1198	43	1	2	24	71	60
16	134	1	1	1333	43	1	2	24	71	60
16	134	2	1	1483	43	1	2	24	71	60
16	134	3	0	1633	43	1	2	24	71	60
16	134	0	2	1198	43	1	3	25	60	8
16	134	1	2	1333	43	1	3	25	60	8
16	134	2	2	1483	43	1	3	25	60	8
17	139	0	1	1195	43	1	2	24	71	60
17	139	1	1	1330	43	1	2	24	71	60
17	139	2	1	1480	43	1	2	24	71	60
17	139	3	0	1630	43	1	2	24	71	60
17	139	0	2	1195	43	1	3	25	60	8
